full_text,sentiment
"@IvanDuque Sus socios de las AGC tienen este platanal vuelto mierda, pero no haces nada, usted inservible, ha logrado la peor inflación en Colombia y solo pública maricadas sin sentido, se robó las elecciones para entregar el país, valiente idiota tenemos de presidente.",negative
"@AlvaroUribeVel Ellos también celebran por que Maduro PetroGustavo Ivan Cepeda Timo Teodora Bobolivar entre muchos más sufren  de insomnio.
Uribe Velez Alvarito no los deja dormir
El enemigo para las elecciones no es Fico.... Sino el Excelentísimo y más Grande Presidente que ha tenido Colombia",negative
"@PDleh @cokycafe @PGN_COL En Colombia existen miles de leyes para controlar los funcionarios públicos pero a la hora de aplicarlas ""se les olvida que existen"". ¿Que más pruebas quieren? ¿Porque avalan unas elecciones, las del 13 de marzo, donde pado de todo lo que no debía de pasar? Escuchamos  respuestas",negative
Petro ahora es el Capitán América o mejor dicho el Capitán Colombia de ganar las elecciones. No soltara el escudo ni para dormir 😂 https://t.co/k56Dv7id1J,positive
"#OtraPregunta 
""Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia""...
Esto no pinta nada bien... y si además gana Lula en Brasil...
¿Esto como que va para largo? https://t.co/wpQsl5KoRe",negative
"Así como estamos en Colombia no pueden haber elecciones, primero toca proteger el país de los narcoterroristas donde se tiene que empezar por fumigar para acabar con la coca y los narcoasesinos terroristas, las elecciones no serían prioridad hasta que no renuncie el registrador",negative
Por fin lo dijo: Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia https://t.co/x6tAhI8K0f,negative
El izquierdista Gustavo Petro lidera encuestas de cara a las presidenciales en Colombia https://t.co/tpk8aLcoE3 via @France24_es,negative
"@Margaritarosadf Nos llevó el putas, aunque aquí en Colombia también estamos en guerra y como seguramente Petro gana las elecciones vamos a estar peor y sobra decir por obra de quién",negative
@Manuel_more17 Es increíble todo lo que pasa en Colombia por una simples elecciones,negative
"La cuenta regresiva para las elecciones presidenciales de Colombia se encuentra en su recta final, y el candidato que cuenta de acuerdo a la encuestas con mayor intención de votos es Gustavo Petro #7May https://t.co/JVyQw3MCv7",neutral
Paloma Valencia rechaza que la Registraduría y el CNE sean quienes contraten la auditoría en las elecciones https://t.co/AJDHCBt0X5,neutral
"A caso en Colombia hay Procuraduría? O si existe está sin cabeza? Las elecciones al Congreso fueron un fraude, hay que anularlas y repetirlas; hay que cerrar el CNE y sacar a todos en la Registraduría, la mayoría para una CARCEL https://t.co/wSfZAJfJcX",negative
"La semana que pasó en Colombia estuvo marcada por la violencia. No es un momento cualquiera: faltan apenas tres semanas para las elecciones en las que Gustavo Petro puede consagrarse como presidente.

@Marco_Teruggi te lo cuenta en 📻#CrisisEnElAire 👇

https://t.co/HZK4j0f8St https://t.co/eAQZ5wsOHH",negative
